@I [HLS-0] Workspace /proj/picasso/pourya/playground/edge_detection/edgedetection_example/impl/kernels/krnl_sobel/krnl_sobel/solution_OCL_REGION_0 opened at Wed May 25 14:46:09 PDT 2016
@I [HLS-100] Command     open_solution returned 0; 0.03 sec.
@I [HLS-100] Execute     set_part xcku060-ffva1156-2-e 
@I [HLS-100] Execute       add_library xilinx/kintexu/kintexu:xcku060:-ffva1156:-2-e 
@I [HLS-100] Execute         get_default_platform 
@I [HLS-100] Command         get_default_platform returned 0; 0 sec.
@I [HLS-100] Execute         license_isbetapart xcku060 
@I [HLS-100] Command         license_isbetapart returned 1; 0.01 sec.
@I [HLS-100] Execute         open_platform DefaultPlatform 
@I [HLS-100] Command         open_platform returned 0; 0 sec.
@I [HLS-100] Execute         import_lib /proj/xbuilds/2016.1_sdaccel_daily_latest/installs/lin64/SDAccel/2016.1/Vivado_HLS/common/technology/xilinx/kintexu/kintexu 
@I [HLS-100] Execute           source /proj/xbuilds/2016.1_sdaccel_daily_latest/installs/lin64/SDAccel/2016.1/Vivado_HLS/common/technology/xilinx/common/xilinx.lib 
@I [HLS-100] Execute             source /proj/xbuilds/2016.1_sdaccel_daily_latest/installs/lin64/SDAccel/2016.1/Vivado_HLS/common/technology/xilinx/interface/xilinx_interface.lib 
@I [HLS-100] Execute               source /proj/xbuilds/2016.1_sdaccel_daily_latest/installs/lin64/SDAccel/2016.1/Vivado_HLS/common/technology/xilinx/interface/plb46.lib 
@I [HLS-100] Command               ap_source returned 0; 0.01 sec.
@I [HLS-100] Execute               source /proj/xbuilds/2016.1_sdaccel_daily_latest/installs/lin64/SDAccel/2016.1/Vivado_HLS/common/technology/xilinx/interface/fsl.lib 
@I [HLS-100] Command               ap_source returned 0; 0 sec.
@I [HLS-100] Execute               source /proj/xbuilds/2016.1_sdaccel_daily_latest/installs/lin64/SDAccel/2016.1/Vivado_HLS/common/technology/xilinx/interface/axi4.lib 
@I [HLS-100] Command               ap_source returned 0; 0 sec.
